freq,c_dest,purpose,duration,tra_mode,unit,geo	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,FOR,TOTAL,N_GE1,AIR,NR,RS	: 	: 	: 	: 	: 	: 	225622 	: 	: 	: 	: 	: 	: 
A,FOR,TOTAL,N_GE1,AIR,NR,SE	: 	: 	5520392 	4845842 	5020997 	14810823 	12724536 	11584378 	2338412 	2974429 	9311994 	: 	11637775 
A,FOR,TOTAL,N_GE1,AIR,NR,SI	324472 	293713 	308253 	364713 	404205 	374550 	426606 	527970 	78281 u	211250 	400090 	547505 	664017 
A,FOR,TOTAL,N_GE1,AIR,NR,SK	864681 	547915 b	580431 	771254 	607120 	1166527 	1418409 	1582894 	166664 u	296995 	944293 	1502099 	1693893 
A,FOR,TOTAL,N_GE1,AIR,NR,UK	42480752 	43841684 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,FOR,TOTAL,N_GE1,BUS,NR,AL	: 	: 	: 	: 	: 	354328 	: 	326356 	95396 	: 	: 	: 	: 
A,FOR,TOTAL,N_GE1,BUS,NR,AT	916603 	876231 	912354 	929584 	927316 	942015 	885119 	815427 	117896 	230464 	745988 	973744 	1153959 
A,FOR,TOTAL,N_GE1,BUS,NR,BE	513062 	577710 	514812 	522533 	643006 	440315 b	560349 	561608 	171213 	167920 	543345 	563379 	524706 
A,FOR,TOTAL,N_GE1,BUS,NR,BG	154788 b	154344 	200039 	152115 	138340 	197983 	283562 	261852 	40083 u	: u	169492 	191488 	224190 
A,FOR,TOTAL,N_GE1,BUS,NR,CH	516548 	442777 	447749 	500856 	422517 	537863 	499759 	398678 	114684 u	85969 u	335971 	: 	: 
A,FOR,TOTAL,N_GE1,BUS,NR,CZ	903358 	778974 	899000 	896117 	758640 	881430 	797184 	896120 	253377 	176723 	504259 	538601 	662964 
A,FOR,TOTAL,N_GE1,BUS,NR,DE	6433670 	7012616 	5494238 	6732858 	6746276 	6010271 	6766847 	5693018 	1140359 u	1544615 u	3975851 	4403774 	5146344 
A,FOR,TOTAL,N_GE1,BUS,NR,DK	344756 	390698 b	413826 	457446 	348080 	403545 	215222 	529282 	146794 u	103010 u	278654 	302056 	527703 
A,FOR,TOTAL,N_GE1,BUS,NR,EA20	13271342 	13833362 	12434969 	13349095 	12788685 	12037848 	13602579 	12446596 	2351149 	3156130 	8851007 	10851191 	11719943 
A,FOR,TOTAL,N_GE1,BUS,NR,EE	163001 	112631 	155854 	132805 	150716 	125620 	225288 	178870 	40960 u	24369 u	51834 	106508 	112201 
A,FOR,TOTAL,N_GE1,BUS,NR,EL	128982 	117523 	89150 	93523 	98421 	74182 	94213 	98615 	33938 u	35156 u	72184 	57750 	71239 
A,FOR,TOTAL,N_GE1,BUS,NR,ES	519563 	430620 	416054 	634356 b	436739 	393643 	489333 	502803 	48983 u	96439 u	326058 	405314 	612168 
A,FOR,TOTAL,N_GE1,BUS,NR,EU27_2020	16987713 e	17603416 e	16477800 	17374556 	16471044 	16048199 	17365019 	16538086 	3540417 	4163660 	11463453 	13677094 e	14863083 
A,FOR,TOTAL,N_GE1,BUS,NR,FI	120684 bu	112577 u	89529 u	73693 u	79160 u	80952 u	91742 u	93859 u	: u	: u	: u	95047 u	132213 u
A,FOR,TOTAL,N_GE1,BUS,NR,FR	1354371 	1345037 	1549624 	1262379 	1157935 	1251265 	1349007 	1175449 	249518 u	348947 	894146 	1519922 	1242899 
A,FOR,TOTAL,N_GE1,BUS,NR,HR	494510 	772380 	700210 	739368 	380463 	482839 	425455 	467730 	57528 u	58877 	204913 	316919 	267469 
A,FOR,TOTAL,N_GE1,BUS,NR,HU	6494 u	: u	: u	: u	: u	: u	: u	: u	: u	: 	12058 u	12869 u	: 
A,FOR,TOTAL,N_GE1,BUS,NR,IE	71401 	69384 	55030 	48644 u	: u	59239 u	56830 u	69200 u	: 	: u	131399 u	140203 u	139702 u
A,FOR,TOTAL,N_GE1,BUS,NR,IT	483145 	626239 	562035 bu	349076 u	: u	449773 u	729142 u	796538 	: u	: u	317104 u	313969 u	343907 u
A,FOR,TOTAL,N_GE1,BUS,NR,LT	87971 	94941 	127082 	175652 	134777 	170530 	257166 	271948 	66678 	70480 	215393 	173205 	174365 
A,FOR,TOTAL,N_GE1,BUS,NR,LU	65819 	53342 	62095 	71042 	60723 	56898 	59539 	60812 	13436 u	16653 	47420 	63428 	64596 
A,FOR,TOTAL,N_GE1,BUS,NR,LV	247351 	222215 	184133 	191210 	219990 	162600 	151079 	137982 	: u	30582 u	81423 	129580 	147832 
A,FOR,TOTAL,N_GE1,BUS,NR,ME	: 	: 	: 	: 	192323 	112225 	: 	: 	: 	: 	: 	: 	: 
A,FOR,TOTAL,N_GE1,BUS,NR,MK	: 	: 	: 	: 	: 	: 	: 	121774 	69290 	230481 	: 	: 	: 
A,FOR,TOTAL,N_GE1,BUS,NR,NL	814966 b	676387 	725939 	707953 	620680 	583616 	733211 	743380 	107944 u	183436 	695181 	923261 	824637 
A,FOR,TOTAL,N_GE1,BUS,NR,NO	: 	135138 u	120235 u	125277 u	132998 u	126474 u	95051 u	: 	: 	: u	: u	84621 u	: u
A,FOR,TOTAL,N_GE1,BUS,NR,PL	1507834 	1663411 	1725312 b	1715507 	1668191 	1714463 	1674467 	1642285 	493369 	516207 	1055237 	1093826 	1058146 
A,FOR,TOTAL,N_GE1,BUS,NR,PT	113614 	114221 	109158 	93711 	100589 	98637 	98693 	106420 	12572 u	33089 u	83187 	117433 	129962 
A,FOR,TOTAL,N_GE1,BUS,NR,RO	327559 	315226 	343712 	265427 	206337 	154834 	199290 	208834 	50810 u	103151 	199727 	270049 	246938 
A,FOR,TOTAL,N_GE1,BUS,NR,RS	: 	: 	: 	: 	: 	: 	182308 	: 	: 	: 	: 	: 	: 
A,FOR,TOTAL,N_GE1,BUS,NR,SE	: 	: 	455815 	537649 	561652 	657672 	592481 	548362 	204311 u	: u	: u	: 	: u
A,FOR,TOTAL,N_GE1,BUS,NR,SI	220534 	206079 	192939 	210316 	178900 	199401 	216144 	234478 	: u	72859 	193049 	282528 	282088 
A,FOR,TOTAL,N_GE1,BUS,NR,SK	522092 	413231 b	494733 	380392 u	526056 	456053 	413421 	438461 	: u	94299 u	227998 	265226 	349656 
A,FOR,TOTAL,N_GE1,BUS_OCC,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	55015 u	54372 u	86019 
A,FOR,TOTAL,N_GE1,BUS_OCC,NR,ES	: 	: 	: 	: 	: 	: 	: 	: 	: u	57472 u	178747 	272079 	355951 
A,FOR,TOTAL,N_GE1,BUS_OCC,NR,HR	: 	: 	: 	: 	: 	: 	: 	: 	: u	24779 u	106550 	201183 	: 
A,FOR,TOTAL,N_GE1,BUS_OCC,NR,HU	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	12058 u	12869 u	: 
A,FOR,TOTAL,N_GE1,BUS_OCC,NR,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 
A,FOR,TOTAL,N_GE1,BUS_OCC,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,FOR,TOTAL,N_GE1,BUS_REG,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	99098 	133762 	135321 
A,FOR,TOTAL,N_GE1,BUS_REG,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u
A,FOR,TOTAL,N_GE1,BUS_REG,NR,ES	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	144111 u	131473 	245336 
A,FOR,TOTAL,N_GE1,BUS_REG,NR,HR	: 	: 	: 	: 	: 	: 	: 	: 	41148 u	34098 u	98364 	115736 	: 
A,FOR,TOTAL,N_GE1,BUS_REG,NR,MK	: 	: 	: 	: 	: 	: 	: 	: 	54814 	190698 	: 	: 	: 
A,FOR,TOTAL,N_GE1,BUS_REG,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 
A,FOR,TOTAL,N_GE1,LAND,NR,AL	: 	: 	: 	: 	: 	552334 	: 	518211 	177389 	: 	: 	: 	: 
A,FOR,TOTAL,N_GE1,LAND,NR,AT	6747330 	6262597 	6700392 	6469458 	7134966 	7258858 	6767912 	7093144 	2857867 	5363706 	9777448 	10481142 	10301520 
A,FOR,TOTAL,N_GE1,LAND,NR,BE	6184271 	6566678 	6726841 	6773232 	8078637 	6965849 b	7668695 	8254226 	4041064 	4599666 	8170750 	8855884 	9171502 
A,FOR,TOTAL,N_GE1,LAND,NR,BG	316950 b	390040 	436173 	387454 	397244 	506035 	673337 	795770 	118667 	122961 	550662 	773241 	917362 
A,FOR,TOTAL,N_GE1,LAND,NR,CH	6961448 	7341733 	7161879 	7935507 	7511880 	8454952 	8255908 	7185503 	4135241 	3889415 	6927136 	: 	: 
A,FOR,TOTAL,N_GE1,LAND,NR,CY	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,FOR,TOTAL,N_GE1,LAND,NR,CZ	4088147 	3995348 	4129186 	4454603 	4446583 	4753382 	4987942 	4852302 	2054512 	2122501 	4428679 	5091242 	4657759 
A,FOR,TOTAL,N_GE1,LAND,NR,DE	45884662 	48203293 	45753700 	46276072 	50640712 	48167273 	60250395 	56323582 	25929385 	33358750 	52751618 	60917489 	67768275 
A,FOR,TOTAL,N_GE1,LAND,NR,DK	2902725 	3591955 b	3528418 	3662602 	3362438 	2867024 	1528997 	3825084 	1585466 	1306259 	2315719 	2541015 	4382591 
A,FOR,TOTAL,N_GE1,LAND,NR,EA20	97518222 	98588946 	97933298 	98125442 	103298234 	105086205 	118973205 	117364547 	51031835 	68014566 	115245673 	130495511 	137910693 
A,FOR,TOTAL,N_GE1,LAND,NR,EE	386267 	421813 	501080 	408362 	513918 	478761 	711043 	619898 	236331 	173689 	342184 	446470 	436322 
A,FOR,TOTAL,N_GE1,LAND,NR,EL	261676 	250294 	240134 	217070 	200444 	199390 	265140 	295778 	103296 	115298 	254666 	244438 	227043 
A,FOR,TOTAL,N_GE1,LAND,NR,ES	3588238 	3169558 	3384526 	4063436 b	3884653 	4840091 	4760306 	4973690 	1692609 	2495433 	4134334 	4584585 	4731813 
A,FOR,TOTAL,N_GE1,LAND,NR,EU27_2020	117210911 e	119044746 e	118617300 	119894551 	125400954 	129351344 	142791833 	144100076 	61647241 	79901701 	136699106 	154129029 e	163261333 
A,FOR,TOTAL,N_GE1,LAND,NR,FI	719076 b	699823 	578817 	628681 	724580 	763693 	776374 	623218 	270583 	190678 u	694804 	831571 	763712 
A,FOR,TOTAL,N_GE1,LAND,NR,FR	9839747 	10295997 	11221144 	9611400 	9233895 	11000416 	11323692 	11073756 	5284494 	6132602 	11171806 	12764301 	13360316 
A,FOR,TOTAL,N_GE1,LAND,NR,HR	2145120 	2348445 	2193056 	2019794 	1355303 	1546983 	1557304 	1750405 	412428 	504135 	1012955 	1552553 	1537514 
A,FOR,TOTAL,N_GE1,LAND,NR,HU	2892738 	3138942 	3554594 	4089256 	4630542 	4724990 	5176271 	5254411 	2002704 	2144002 	3587551 	3776235 	3602598 
A,FOR,TOTAL,N_GE1,LAND,NR,IE	510678 	483462 	482148 	454112 	459066 	539280 	594747 	731844 	272266 	509770 	1061059 	1399606 	1778771 
A,FOR,TOTAL,N_GE1,LAND,NR,IT	4148174 	3077288 	3271592 b	4082668 	3164313 	3876265 	3973289 	4171809 	1222029 	1743001 	3276281 	2538042 	2490227 
A,FOR,TOTAL,N_GE1,LAND,NR,LT	863892 	904567 	919677 	897254 	905993 	924805 	995282 	1005192 	331502 	251182 	558585 	551887 	465428 
A,FOR,TOTAL,N_GE1,LAND,NR,LU	985864 	1039031 	1121233 	1047504 	906826 	1309770 	1412660 	1441538 	1012975 	1253254 	1725213 	1848951 	1818938 
A,FOR,TOTAL,N_GE1,LAND,NR,LV	782368 	677576 	634038 	677404 	705503 	630369 	638698 	649177 	235239 	219203 	577412 	753404 	725670 
A,FOR,TOTAL,N_GE1,LAND,NR,ME	: 	: 	: 	: 	533004 	393853 	: 	: 	: 	: 	: 	: 	: 
A,FOR,TOTAL,N_GE1,LAND,NR,MK	: 	: 	: 	: 	: 	: 	: 	287784 	69290 	230481 	: 	: 	: 
A,FOR,TOTAL,N_GE1,LAND,NR,NL	10085450 b	9885792 	9625304 	9602393 	9979627 	10700289 	10751206 	11400785 	4985946 	7621021 	14038317 	15399599 	14282579 
A,FOR,TOTAL,N_GE1,LAND,NR,NO	: 	1605528 	1730273 	1856916 	1402103 	1592246 	1488163 	: 	: 	609311 	1706739 	1851923 	239295 
A,FOR,TOTAL,N_GE1,LAND,NR,PL	6117437 	5898395 	5611758 b	5679830 	5638116 	5475530 	5759976 	5740447 	3081699 	3141223 	4489076 	4795567 	4753164 
A,FOR,TOTAL,N_GE1,LAND,NR,PT	441211 	420399 	439643 	421255 	486319 	552363 	546841 	699897 	207406 	316654 	620304 	803792 	857906 
A,FOR,TOTAL,N_GE1,LAND,NR,RO	555159 	677956 	698615 	651458 	643073 	609635 	733443 	858436 	271848 	578795 	841137 	1095665 	1147482 
A,FOR,TOTAL,N_GE1,LAND,NR,RS	: 	: 	: 	: 	: 	: 	620813 	: 	: 	: 	: 	: 	: 
A,FOR,TOTAL,N_GE1,LAND,NR,SE	: 	: 	2725258 	2843904 	2984723 	5328544 	4958661 	5409079 	1500510 	2471394 	5240610 	: 	5889685 
A,FOR,TOTAL,N_GE1,LAND,NR,SI	2123809 	2305043 	2317248 	2473469 	2440960 	2628576 	2747703 	2633438 	1059139 	1901836 	2734269 	3666230 	4024964 
A,FOR,TOTAL,N_GE1,LAND,NR,SK	1820388 	1577290 b	1822726 	2000577 	2482519 	2703176 	3231917 	3623172 	877278 	1264688 	2343667 	2855566 	3168193 
A,FOR,TOTAL,N_GE1,LAND,NR,UK	3794139 	3853047 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,FOR,TOTAL,N_GE1,LAND_OTH,NR,AL	: 	: 	: 	: 	: 	11659 u	: 	: 	: 	: 	: 	: 	: 
A,FOR,TOTAL,N_GE1,LAND_OTH,NR,AT	104918 	135984 	159513 	178610 	226198 	267817 	202872 	242813 	136324 	194048 	295761 	298155 	163601 
A,FOR,TOTAL,N_GE1,LAND_OTH,NR,BE	: u	249383 	84150 	48645 u	55395 u	: u	: u	45904 u	: u	: u	: u	: u	44153 u
A,FOR,TOTAL,N_GE1,LAND_OTH,NR,BG	: u	: u	: 	: 	: 	: 	: 	: u	: 	: 	: 	: u	: u
A,FOR,TOTAL,N_GE1,LAND_OTH,NR,CH	: u	: u	: u	: u	: u	: 	: u	: u	: 	: u	: u	: 	: 
A,FOR,TOTAL,N_GE1,LAND_OTH,NR,CZ	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u	: u	: u
A,FOR,TOTAL,N_GE1,LAND_OTH,NR,DE	1524865 	1219882 	794910 u	980614 u	1479312 	1151608 u	2776377 	1862951 	: u	704827 u	1786901 	1585385 	1843124 
A,FOR,TOTAL,N_GE1,LAND_OTH,NR,DK	: u	: u	: u	73653 u	73023 u	: u	: u	750644 	: u	: 	: u	: u	: u
A,FOR,TOTAL,N_GE1,LAND_OTH,NR,EA20	2349768 	2134049 	1723715 	1775894 	2359561 	2027565 	3550075 	2629634 	674095 	1320559 	2644676 	2543924 	2607858 
A,FOR,TOTAL,N_GE1,LAND_OTH,NR,EE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,FOR,TOTAL,N_GE1,LAND_OTH,NR,EL	: 	: u	: u	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 
A,FOR,TOTAL,N_GE1,LAND_OTH,NR,ES	52910 	36764 	32877 	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,FOR,TOTAL,N_GE1,LAND_OTH,NR,EU27_2020	2704987 e	2472618 e	1998573 	2118011 	2724589 	2347443 	3968189 	3695183 	845289 	1464956 	2931559 	2814162 e	2774837 
A,FOR,TOTAL,N_GE1,LAND_OTH,NR,FI	: 	: 	: 	: 	: 	: 	: u	: 	: u	: u	: u	: u	: u
A,FOR,TOTAL,N_GE1,LAND_OTH,NR,FR	: u	: u	63505 u	: u	: u	99975 u	: u	: u	: u	: u	: u	: u	: u
A,FOR,TOTAL,N_GE1,LAND_OTH,NR,HR	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 	: u	: 
A,FOR,TOTAL,N_GE1,LAND_OTH,NR,HU	24856 	32627 	60571 	110152 	151048 	98132 	151911 	192343 	145527 	47241 	62681 	54069 	29233 u
A,FOR,TOTAL,N_GE1,LAND_OTH,NR,IE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,FOR,TOTAL,N_GE1,LAND_OTH,NR,IT	456079 u	280224 u	407639 bu	: u	328192 u	: u	: u	289245 u	: u	: u	220570 u	252783 u	182521 u
A,FOR,TOTAL,N_GE1,LAND_OTH,NR,LT	: u	: u	: u	6415 	: u	: u	8972 u	: u	: u	: 	38822 	: u	: 
A,FOR,TOTAL,N_GE1,LAND_OTH,NR,LU	15780 	15993 	28974 	20936 	19069 	21711 u	22819 u	8416 u	10639 u	: u	10698 u	10224 u	9888 u
A,FOR,TOTAL,N_GE1,LAND_OTH,NR,LV	: u	: u	: u	: u	: u	: u	: 	: 	: 	: 	: u	: u	: u
A,FOR,TOTAL,N_GE1,LAND_OTH,NR,ME	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 
A,FOR,TOTAL,N_GE1,LAND_OTH,NR,MK	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,FOR,TOTAL,N_GE1,LAND_OTH,NR,NL	: u	49433 u	55415 u	61886 u	58893 u	76114 u	53602 u	: u	: u	39563 u	98942 	131996 	128357 
A,FOR,TOTAL,N_GE1,LAND_OTH,NR,NO	: 	: u	: u	70038 u	: u	: u	: u	: 	: 	: u	: u	: u	: 
A,FOR,TOTAL,N_GE1,LAND_OTH,NR,PL	111256 u	105208 u	23461 bu	21581 	16572 u	: u	: u	: u	: u	: u	: u	: u	: u
A,FOR,TOTAL,N_GE1,LAND_OTH,NR,PT	47735 u	: u	: u	: u	31181 u	28081 u	28729 u	42934 	: u	: u	22157 u	16625 u	12728 u
A,FOR,TOTAL,N_GE1,LAND_OTH,NR,RO	: u	: 	: u	: u	: 	: u	: u	: u	: 	: 	: u	: u	: 
A,FOR,TOTAL,N_GE1,LAND_OTH,NR,RS	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 
A,FOR,TOTAL,N_GE1,LAND_OTH,NR,SE	: 	: 	137916 u	115055 u	116998 u	141726 u	176492 u	: u	: u	: u	: u	: 	: u
A,FOR,TOTAL,N_GE1,LAND_OTH,NR,SI	: u	: u	: u	: u	: u	: u	: u	: u	: u	26739 u	: u	22679 u	: u
A,FOR,TOTAL,N_GE1,LAND_OTH,NR,SK	: u	: u	: u	: 	: 	: u	: u	: u	: 	: u	: u	: u	: u
A,FOR,TOTAL,N_GE1,PRDMV_PAS_X_BUS,NR,AL	: 	: 	: 	: 	: 	: 	: 	: 	81396 	: 	: 	: 	: 
A,FOR,TOTAL,N_GE1,PRDMV_PAS_X_BUS,NR,AT	: 	: 	: 	: 	: 	: 	: 	: 	2161095 	4126551 	6812025 	7360848 	7323068 
A,FOR,TOTAL,N_GE1,PRDMV_PAS_X_BUS,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	2976698 	3879456 	6409022 	6823211 	6987005 
A,FOR,TOTAL,N_GE1,PRDMV_PAS_X_BUS,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	77633 u	90124 	374009 	558264 	680994 
A,FOR,TOTAL,N_GE1,PRDMV_PAS_X_BUS,NR,CH	: 	: 	: 	: 	: 	: 	: 	: 	3266432 	3061801 	5006701 	: 	: 
A,FOR,TOTAL,N_GE1,PRDMV_PAS_X_BUS,NR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	1722566 	1804697 	3590612 	4071651 	3727449 
A,FOR,TOTAL,N_GE1,PRDMV_PAS_X_BUS,NR,DE	: 	: 	: 	: 	: 	: 	: 	: 	20249725 	25518506 	36708555 	42519565 	45204534 
A,FOR,TOTAL,N_GE1,PRDMV_PAS_X_BUS,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	1224607 	970877 	1687013 	1878366 	3130334 
A,FOR,TOTAL,N_GE1,PRDMV_PAS_X_BUS,NR,EA20	: 	: 	: 	: 	: 	: 	: 	: 	40133820 	53665401 	83269294 	93065148 	95853320 
A,FOR,TOTAL,N_GE1,PRDMV_PAS_X_BUS,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	171517 	130011 	274192 	313311 	284380 
A,FOR,TOTAL,N_GE1,PRDMV_PAS_X_BUS,NR,EL	: 	: 	: 	: 	: 	: 	: 	: 	69358 	78497 	175576 	185848 	153720 
A,FOR,TOTAL,N_GE1,PRDMV_PAS_X_BUS,NR,ES	: 	: 	: 	: 	: 	: 	: 	: 	1508657 	2233293 	3599747 	3884757 	3796443 
A,FOR,TOTAL,N_GE1,PRDMV_PAS_X_BUS,NR,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	48750670 	63594405 	99532261 	111196637 e	115199658 
A,FOR,TOTAL,N_GE1,PRDMV_PAS_X_BUS,NR,FI	: 	: 	: 	: 	: 	: 	: 	: 	208509 	153289 u	494109 	557412 	522641 
A,FOR,TOTAL,N_GE1,PRDMV_PAS_X_BUS,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	3758707 	4542843 	7482449 	7795167 	8061482 
A,FOR,TOTAL,N_GE1,PRDMV_PAS_X_BUS,NR,HR	: 	: 	: 	: 	: 	: 	: 	: 	337373 	434206 	794894 	1208520 	1234914 
A,FOR,TOTAL,N_GE1,PRDMV_PAS_X_BUS,NR,HU	: 	: 	: 	: 	: 	: 	: 	: 	1856653 	2096761 	3512812 	3709297 	3573365 
A,FOR,TOTAL,N_GE1,PRDMV_PAS_X_BUS,NR,IE	: 	: 	: 	: 	: 	: 	: 	: 	224125 	412101 	697735 	1046035 	1065939 
A,FOR,TOTAL,N_GE1,PRDMV_PAS_X_BUS,NR,IT	: 	: 	: 	: 	: 	: 	: 	: 	860402 	1239475 	2458863 	1675873 	1747758 
A,FOR,TOTAL,N_GE1,PRDMV_PAS_X_BUS,NR,LT	: 	: 	: 	: 	: 	: 	: 	: 	248046 	178887 	303153 	365179 	267095 
A,FOR,TOTAL,N_GE1,PRDMV_PAS_X_BUS,NR,LU	: 	: 	: 	: 	: 	: 	: 	: 	878062 	1089876 	1430395 	1487365 	1450296 
A,FOR,TOTAL,N_GE1,PRDMV_PAS_X_BUS,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	192318 	171136 	487600 	604386 	541077 
A,FOR,TOTAL,N_GE1,PRDMV_PAS_X_BUS,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	4409849 	6494359 	10449985 	11177679 	10602700 
A,FOR,TOTAL,N_GE1,PRDMV_PAS_X_BUS,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	556519 	1540549 	1630191 	: u
A,FOR,TOTAL,N_GE1,PRDMV_PAS_X_BUS,NR,PL	: 	: 	: 	: 	: 	: 	: 	: 	2464246 	2518952 	3119184 	3555278 	3545651 
A,FOR,TOTAL,N_GE1,PRDMV_PAS_X_BUS,NR,PT	: 	: 	: 	: 	: 	: 	: 	: 	177955 	262400 	507489 	658105 	668831 
A,FOR,TOTAL,N_GE1,PRDMV_PAS_X_BUS,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	212591 	470140 	621703 	796015 	858113 
A,FOR,TOTAL,N_GE1,PRDMV_PAS_X_BUS,NR,SE	: 	: 	: 	: 	: 	: 	: 	: 	1058553 	1977454 	3357633 	: 	3830431 
A,FOR,TOTAL,N_GE1,PRDMV_PAS_X_BUS,NR,SI	: 	: 	: 	: 	: 	: 	: 	: 	989043 	1751530 	2449285 	3218327 	3587071 
A,FOR,TOTAL,N_GE1,PRDMV_PAS_X_BUS,NR,SK	: 	: 	: 	: 	: 	: 	: 	: 	712381 	968981 	1734220 	2183560 	2354366 
A,FOR,TOTAL,N_GE1,RAIL,NR,AL	: 	: 	: 	: 	: 	: u	: 	: 	: u	: 	: 	: 	: 
A,FOR,TOTAL,N_GE1,RAIL,NR,AT	871373 	699039 	717542 	748023 	789836 	754079 	768670 	1016729 	390054 	712425 	1832198 	1744947 	1522568 
A,FOR,TOTAL,N_GE1,RAIL,NR,BE	842785 	647004 	646775 	650125 	697498 	669541 b	832908 	915131 	329453 	434164 	927048 	1129636 	1239389 
A,FOR,TOTAL,N_GE1,RAIL,NR,BG	: u	: u	: u	: u	: 	: u	: 	: 	: u	: 	: u	: u	: u
A,FOR,TOTAL,N_GE1,RAIL,NR,CH	1230245 	1575345 	1305861 	1381112 	1253704 	1592904 	1522470 	1212140 	613444 	651563 	1424639 	: 	: 
A,FOR,TOTAL,N_GE1,RAIL,NR,CY	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,FOR,TOTAL,N_GE1,RAIL,NR,CZ	267489 	188485 	140334 u	202425 	309977 	225065 	279455 	334921 	: u	119304 u	292478 	444482 	235154 
A,FOR,TOTAL,N_GE1,RAIL,NR,DE	4224255 	4191929 	3646896 	2929567 	4589387 	3797503 	4525045 	4924695 	2191136 	2432619 	5485494 	7177561 	8828808 
A,FOR,TOTAL,N_GE1,RAIL,NR,DK	260689 	304309 b	206055 	256677 	289970 	199874 u	78118 u	393313 	168643 u	154446 u	283358 u	271188 	586173 
A,FOR,TOTAL,N_GE1,RAIL,NR,EA20	9695350 	9488725 	9192177 	8064734 	9284979 	9262991 	10380276 	12062042 	4847626 	5867879 	13946667 	16534814 	18590914 
A,FOR,TOTAL,N_GE1,RAIL,NR,EE	: u	27801 u	20314 u	: u	19783 u	: u	: u	26627 u	: u	: u	: u	: u	: u
A,FOR,TOTAL,N_GE1,RAIL,NR,EL	: u	: 	: u	: u	: u	: u	: 	: u	: 	: u	: u	: u	: u
A,FOR,TOTAL,N_GE1,RAIL,NR,ES	119322 	120687 	122013 	146284 b	118852 	153528 	170537 	132683 	67307 u	83604 u	81823 u	121038 u	153968 
A,FOR,TOTAL,N_GE1,RAIL,NR,EU27_2020	10964960 e	10739168 e	10240366 	9284134 	10570089 	10297063 	11565759 	13672944 	5266988 	6468975 	15606835 	18422916 e	21024065 
A,FOR,TOTAL,N_GE1,RAIL,NR,FI	104414 bu	81628 u	84855 u	101718 u	93783 u	95495 u	107353 u	78716 u	: u	: u	89513 u	: u	: u
A,FOR,TOTAL,N_GE1,RAIL,NR,FR	1805906 	2182537 	2532058 	1871577 	1685806 	1993385 	1873667 	2309819 	1161086 	1053783 	2425677 	2827745 	3484097 
A,FOR,TOTAL,N_GE1,RAIL,NR,HR	100254 u	100997 u	51382 u	: u	: u	24050 u	31400 u	: u	: u	: u	: u	17750 u	26336 u
A,FOR,TOTAL,N_GE1,RAIL,NR,IE	59366 	42224 u	74296 	54832 u	53230 u	62341 	109879 	87425 	41889 u	91925 u	218341 u	168436 u	311837 
A,FOR,TOTAL,N_GE1,RAIL,NR,IT	290424 u	254395 u	: u	: u	: u	: u	251038 u	289881 u	: u	: u	194825 u	270143 u	: u
A,FOR,TOTAL,N_GE1,RAIL,NR,LT	103442 	98203 	95825 	77972 	72711 	67519 	75708 	88074 	13804 	: 	: u	12991 	23968 
A,FOR,TOTAL,N_GE1,RAIL,NR,LU	159109 	173378 	164791 	123831 	97624 	171588 	163039 	192746 	91178 	101959 	184162 	232755 	233225 
