freq,c_dest,unit,purpose,duration,accommod,geo	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,FOR,NR,PER_OTH,N_GE4,TOTAL,HR	1815799 	2376550 	2240859 	1690229 	439356 	948776 	578932 	621237 	: u	436004 u	: u	219156 u	161816 u
A,FOR,NR,PER_OTH,N_GE4,TOTAL,HU	1724340 	1386152 	2213795 	1118117 	1672805 	1339974 	1154038 	2642597 	653751 	546483 	602821 	1778068 	1328855 
A,FOR,NR,PER_OTH,N_GE4,TOTAL,IE	5016961 	4779467 	3944783 	3984951 	5132308 	5788384 	3465884 	6027173 	1156519 	2755875 u	3473568 	2763198 	3030640 
A,FOR,NR,PER_OTH,N_GE4,TOTAL,IT	2339601 	1101654 u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,FOR,NR,PER_OTH,N_GE4,TOTAL,LT	329510 	406929 	356582 	173365 	163101 	199207 	405604 	228694 	129753 	53751 u	87397 u	128621 u	132617 
A,FOR,NR,PER_OTH,N_GE4,TOTAL,LU	156512 	225617 	354441 	449441 	161978 	468073 	369058 	478827 	485037 	470796 	799082 	433528 	557123 
A,FOR,NR,PER_OTH,N_GE4,TOTAL,LV	495092 u	357339 u	785120 u	353523 u	: u	: u	: u	: u	: u	: u	706189 u	751404 u	374307 u
A,FOR,NR,PER_OTH,N_GE4,TOTAL,ME	: 	: 	: 	: 	337534 u	399520 u	: 	: 	: 	: 	: 	: 	: 
A,FOR,NR,PER_OTH,N_GE4,TOTAL,MK	: 	: 	: 	: 	: 	: 	: 	46351 u	: u	: u	: 	: 	: 
A,FOR,NR,PER_OTH,N_GE4,TOTAL,MT	179732 	183180 	167861 bu	145359 u	198551 u	202996 	248042 	141003 	: u	125723 u	145178 u	138739 	221988 
A,FOR,NR,PER_OTH,N_GE4,TOTAL,NL	: u	620408 u	: u	: u	: u	2094023 	2083067 	2123470 	515990 u	816754 u	7596769 	9544674 	6587314 
A,FOR,NR,PER_OTH,N_GE4,TOTAL,NO	: 	2841672 	3529635 	3228268 	2765458 	3124527 	1981918 	: 	: 	: u	3084915 	2741327 	2173906 
A,FOR,NR,PER_OTH,N_GE4,TOTAL,PL	4619528 	1812522 u	5505203 b	5116153 	5064465 	7012113 	5293888 	5980105 	2521881 	3261225 	4572588 	3442154 	3448653 
A,FOR,NR,PER_OTH,N_GE4,TOTAL,PT	: u	516748 u	694851 u	495872 u	319176 u	443696 u	239159 u	448804 u	250803 u	396707 u	588393 u	613915 	599522 
A,FOR,NR,PER_OTH,N_GE4,TOTAL,RO	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,FOR,NR,PER_OTH,N_GE4,TOTAL,RS	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 
A,FOR,NR,PER_OTH,N_GE4,TOTAL,SE	: 	: 	6082090 	5440562 	5491752 	14405423 	9133732 	10658868 	4416226 	4091253 u	4790145 u	: 	14396694 u
A,FOR,NR,PER_OTH,N_GE4,TOTAL,SI	: u	: u	: u	: u	422876 u	: u	: u	: u	: 	: u	279122 u	306579 u	252976 u
A,FOR,NR,PER_OTH,N_GE4,TOTAL,SK	2483973 u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	690960 u
A,FOR,NR,PER_OTH,N_GE4,TOTAL,UK	17742385 	17193576 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,FOR,NR,PER_OTH,N_GE4,TOT_NR,AL	: 	: 	: 	: 	: 	998859 	: 	870965 	440015 u	: 	: 	: 	: 
A,FOR,NR,PER_OTH,N_GE4,TOT_NR,AT	941518 u	1565207 	: u	: u	: u	: u	: u	: u	806215 u	674525 u	1885375 u	3132833 	2639941 
A,FOR,NR,PER_OTH,N_GE4,TOT_NR,BE	: 	461357 u	364241 u	: u	: u	1081858 bu	453666 u	1313775 	2182613 	1734557 	2355200 u	2116769 	2234747 u
A,FOR,NR,PER_OTH,N_GE4,TOT_NR,BG	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,FOR,NR,PER_OTH,N_GE4,TOT_NR,CH	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 
A,FOR,NR,PER_OTH,N_GE4,TOT_NR,CY	871167 b	1120265 b	1111737 u	221848 u	784423 u	613346 u	639199 u	551811 u	: u	: u	: u	359232 u	: u
A,FOR,NR,PER_OTH,N_GE4,TOT_NR,CZ	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 	: 	: u	: u
A,FOR,NR,PER_OTH,N_GE4,TOT_NR,DE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,FOR,NR,PER_OTH,N_GE4,TOT_NR,DK	: u	: u	: 	: 	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,FOR,NR,PER_OTH,N_GE4,TOT_NR,EA20	14616847 	18579009 	16470307 	22879133 	17900115 	20389438 	22506541 	18884656 	16028330 	14117215 	19195867 	33525827 	29579691 
A,FOR,NR,PER_OTH,N_GE4,TOT_NR,EE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,FOR,NR,PER_OTH,N_GE4,TOT_NR,EL	: u	: u	430039 u	120823 u	396641 u	288076 u	: u	: u	: u	: u	: u	: u	: u
A,FOR,NR,PER_OTH,N_GE4,TOT_NR,ES	2735100 	1823384 	1487393 	3995777 b	3130612 	3064878 u	2694832 u	2331292 	: u	2115300 u	3583811 u	2162021 	2851560 
A,FOR,NR,PER_OTH,N_GE4,TOT_NR,EU27_2020	17591998 e	21252845 e	21072196 	27166457 	22226931 	26366900 	25484309 	25370741 	20411281 	17943366 	22453688 	36282701 e	32762394 
A,FOR,NR,PER_OTH,N_GE4,TOT_NR,FI	: u	: u	: u	: u	: u	: u	: u	1991565 u	: u	: u	: u	: u	: u
A,FOR,NR,PER_OTH,N_GE4,TOT_NR,FR	2526653 u	2901684 u	5419727 u	1752886 u	3048590 u	3252117 u	3088106 u	2871839 u	1605139 u	1289691 u	1457702 u	2313066 u	1852261 u
A,FOR,NR,PER_OTH,N_GE4,TOT_NR,HR	943274 u	886920 u	869531 u	472318 u	: u	355594 u	: u	294530 u	: u	: u	: u	: u	: u
A,FOR,NR,PER_OTH,N_GE4,TOT_NR,HU	443984 	339940 	1066466 	376048 	452443 	448892 	470470 	1464830 	433836 	375392 	157114 u	598188 	171990 u
A,FOR,NR,PER_OTH,N_GE4,TOT_NR,IE	1368085 	1069490 	724753 u	1031756 u	1433983 	1258915 	789934 	1696378 	434929 u	: u	2019092 u	: u	1344458 u
A,FOR,NR,PER_OTH,N_GE4,TOT_NR,IT	: u	: u	: 	: 	: u	: 	: 	: 	: 	: 	: u	: u	: u
A,FOR,NR,PER_OTH,N_GE4,TOT_NR,LT	98482 	234380 	86648 u	74778 	41814 u	52070 u	300368 	68509 u	63265 u	: u	: u	: u	: u
A,FOR,NR,PER_OTH,N_GE4,TOT_NR,LU	: u	95258 u	135357 u	142598 u	: u	259613 	: u	146368 u	346843 	234248 u	446612 u	124270 u	154201 u
A,FOR,NR,PER_OTH,N_GE4,TOT_NR,LV	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,FOR,NR,PER_OTH,N_GE4,TOT_NR,ME	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 	: 
A,FOR,NR,PER_OTH,N_GE4,TOT_NR,MK	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 
A,FOR,NR,PER_OTH,N_GE4,TOT_NR,MT	37837 u	29303 	: u	: u	: u	73660 u	: u	: u	: u	: u	: u	: u	: u
A,FOR,NR,PER_OTH,N_GE4,TOT_NR,NL	: 	: 	: u	: u	: u	: u	: u	: u	: u	: u	2951319 	4049160 	3499394 
A,FOR,NR,PER_OTH,N_GE4,TOT_NR,NO	: 	404561 u	1036935 u	1028338 u	: u	812322 u	: u	: 	: 	: u	959933 u	1703737 u	770717 u
A,FOR,NR,PER_OTH,N_GE4,TOT_NR,PL	: u	: u	1493894 b	1731735 	1517066 	2886902 	1329031 	2097341 	962486 	1253153 	2195801 	1178241 	1435239 
A,FOR,NR,PER_OTH,N_GE4,TOT_NR,PT	: u	395835 u	627277 u	329905 u	: u	337255 u	: u	: u	199631 u	289342 u	472395 u	387628 u	294302 u
A,FOR,NR,PER_OTH,N_GE4,TOT_NR,RO	: 	: u	: 	: u	: u	: u	: u	: u	: 	: u	: u	: u	: u
A,FOR,NR,PER_OTH,N_GE4,TOT_NR,RS	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 
A,FOR,NR,PER_OTH,N_GE4,TOT_NR,SE	: 	: 	1841413 u	2115300 u	1940761 u	2431838 u	: u	2179593 u	2096869 u	: u	: u	: 	: u
A,FOR,NR,PER_OTH,N_GE4,TOT_NR,SI	: u	: u	: u	: u	: u	: u	: 	: u	: 	: u	: u	: u	: u
A,FOR,NR,PER_OTH,N_GE4,TOT_NR,SK	: u	: 	: 	: u	: u	: 	: u	: u	: 	: u	: u	: u	: u
A,FOR,NR,PER_OTH,N_GE4,TOT_NR,UK	7016156 	15123167 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,FOR,NR,PER_OTH,N_GE4,TOT_R,AL	: 	: 	: 	: 	: 	395356 u	: 	481096 u	: u	: 	: 	: 	: 
A,FOR,NR,PER_OTH,N_GE4,TOT_R,AT	1962811 	2027116 	1318732 	1144260 	1390650 	1454396 	2115438 	2121919 	598528 u	710275 u	2927537 	3015483 	3133451 
A,FOR,NR,PER_OTH,N_GE4,TOT_R,BE	: u	1155700 	2172655 	917795 u	885224 u	310588 bu	471751 u	2342698 	533097 u	1405352 u	1296055 	1938373 	2175919 
A,FOR,NR,PER_OTH,N_GE4,TOT_R,BG	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,FOR,NR,PER_OTH,N_GE4,TOT_R,CH	4165091 	3597567 	2789768 	2946444 	5122920 	4520610 	4363020 	5833065 	2850231 u	1493444 u	2383658 u	: 	: 
A,FOR,NR,PER_OTH,N_GE4,TOT_R,CY	2216963 b	1847803 b	2428454 	2565924 	2521488 	2460370 	1602750 u	2077537 	2415362 u	: u	1244857 u	879511 	863250 u
A,FOR,NR,PER_OTH,N_GE4,TOT_R,CZ	520734 u	519971 u	560662 u	875899 u	562485 u	507425 u	1171228 u	584610 u	: u	: u	490866 u	1248291 u	: u
A,FOR,NR,PER_OTH,N_GE4,TOT_R,DE	21064349 u	27306962 	20363113 	20661395 	15621493 	26330005 	25957127 	26353209 	: u	: u	11185564 	17407685 	11061973 u
A,FOR,NR,PER_OTH,N_GE4,TOT_R,DK	: u	: u	: u	: u	: u	2607791 	1599184 u	2203056 	: u	: u	1173465 u	1046346 u	2276067 u
A,FOR,NR,PER_OTH,N_GE4,TOT_R,EA20	54892787 	54709774 	51258116 	46697535 	38647834 	58815603 	47596010 	57164625 	14579219 	16230030 	35540920 	45108903 	41032204 
A,FOR,NR,PER_OTH,N_GE4,TOT_R,EE	: u	: u	: u	: u	: u	: u	: u	618873 u	: u	: u	: u	: u	: u
A,FOR,NR,PER_OTH,N_GE4,TOT_R,EL	: u	499777 u	251245 u	: u	191655 u	175572 u	241728 u	: u	: u	: u	345021 u	215311 u	113447 u
A,FOR,NR,PER_OTH,N_GE4,TOT_R,ES	6106931 	5194974 	4328413 	8075185 b	3821131 	6356832 	3319993 	2476655 	1228752 u	1708671 u	4012594 	4232165 	4459479 
A,FOR,NR,PER_OTH,N_GE4,TOT_R,EU27_2020	65745616 e	62649971 e	61621626 	55384246 	47785550 	78997140 	63281501 	73675203 	19074522 	21377620 	44354334 	55394076 e	60297078 
A,FOR,NR,PER_OTH,N_GE4,TOT_R,FI	4948603 bu	3242570 	1583918 u	979461 u	1267386 u	2100463 u	1393345 u	2329416 	: u	: u	2154223 u	3563444 	7344390 
A,FOR,NR,PER_OTH,N_GE4,TOT_R,FR	7650296 	5397959 	11165475 	6173230 	5786320 	8161333 	6110191 	7985487 	1983082 u	1401152 u	3881453 	3465178 	3946554 
A,FOR,NR,PER_OTH,N_GE4,TOT_R,HR	872524 u	1489630 	1371328 	1217910 	322755 u	593183 	259763 u	326707 u	: u	: u	: u	170713 u	142821 u
A,FOR,NR,PER_OTH,N_GE4,TOT_R,HU	1280356 	1046212 	1147329 	742069 	1220362 	891082 	683568 	1177767 	219915 	171091 	445707 	1179880 	1156865 
A,FOR,NR,PER_OTH,N_GE4,TOT_R,IE	3648876 	3709977 	3220030 	2953195 	3698325 	4529469 	2675950 	4330795 	721590 	1045685 u	1454476 u	2429064 u	1686181 u
A,FOR,NR,PER_OTH,N_GE4,TOT_R,IT	2040997 	1098363 u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,FOR,NR,PER_OTH,N_GE4,TOT_R,LT	231028 	172549 	269934 	98586 	121287 	147137 	105236 	160185 	66488 	39714 u	73130 u	96469 u	119363 
A,FOR,NR,PER_OTH,N_GE4,TOT_R,LU	93270 u	130358 u	219083 	306843 	93219 u	208460 	232389 	332459 	138194 u	236547 u	352470 	309258 	402922 
A,FOR,NR,PER_OTH,N_GE4,TOT_R,LV	265796 u	: u	441797 u	: u	: u	: u	: u	: u	: u	: u	496464 u	390375 u	340966 u
A,FOR,NR,PER_OTH,N_GE4,TOT_R,ME	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 	: 
A,FOR,NR,PER_OTH,N_GE4,TOT_R,MK	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: 	: 	: 
A,FOR,NR,PER_OTH,N_GE4,TOT_R,MT	141895 	153878 	128459 bu	111522 u	181067 u	129337 u	160623 u	118449 	: u	99845 u	127433 u	128834 	130190 u
A,FOR,NR,PER_OTH,N_GE4,TOT_R,NL	: u	620408 u	: u	: u	: u	1830352 	1542690 	1931417 	: u	: u	4645449 	5495515 	3087920 
A,FOR,NR,PER_OTH,N_GE4,TOT_R,NO	: 	2437111 	2492700 	2199930 	2342475 	2312204 	1314570 u	: 	: 	: u	2124982 	1037590 u	1403188 u
A,FOR,NR,PER_OTH,N_GE4,TOT_R,PL	4255859 	1444074 u	4011309 b	3384418 	3547399 	4125212 	3964856 	3882764 	1559395 	2008072 	2376787 	2263912 	2013414 
A,FOR,NR,PER_OTH,N_GE4,TOT_R,PT	: u	: u	: u	: u	135819 u	: u	110469 u	122596 u	: u	: u	115998 u	226287 u	305220 u
A,FOR,NR,PER_OTH,N_GE4,TOT_R,RO	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,FOR,NR,PER_OTH,N_GE4,TOT_R,RS	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 
A,FOR,NR,PER_OTH,N_GE4,TOT_R,SE	: 	: 	4240677 	3325262 	3550991 	11973585 	8156079 	8479275 	2319356 u	2080185 u	4187199 u	: 	13221103 u
A,FOR,NR,PER_OTH,N_GE4,TOT_R,SI	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	219275 u	: u	240234 u
A,FOR,NR,PER_OTH,N_GE4,TOT_R,SK	2309586 u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	656703 u
A,FOR,NR,PER_OTH,N_GE4,TOT_R,UK	10726229 	2070409 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,FOR,NR,PER_VFR,N1-3,NR_OTH,AT	: 	: 	: 	: 	: 	: u	: 	: u	: u	: u	: u	165450 u	113711 u
A,FOR,NR,PER_VFR,N1-3,NR_OTH,BE	: 	: u	: u	: u	: u	: 	: u	: u	: u	: u	: u	: u	: u
A,FOR,NR,PER_VFR,N1-3,NR_OTH,CH	: 	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,FOR,NR,PER_VFR,N1-3,NR_OTH,DE	: u	: 	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,FOR,NR,PER_VFR,N1-3,NR_OTH,DK	: 	: u	: u	: u	: u	: 	: 	: u	: 	: u	: u	: u	: u
A,FOR,NR,PER_VFR,N1-3,NR_OTH,EA20	191042 u	: u	: u	: u	: u	293394 u	245672 u	764499 	336792 u	380262 	645911 	807619 	562976 
A,FOR,NR,PER_VFR,N1-3,NR_OTH,EE	: 	: 	: u	: u	: 	: 	: u	: 	: 	: 	: 	: 	: u
A,FOR,NR,PER_VFR,N1-3,NR_OTH,ES	: 	: u	: 	: u	: 	: 	: 	: u	: u	: 	: u	: u	: 
A,FOR,NR,PER_VFR,N1-3,NR_OTH,EU27_2020	292231 e	100768 u	206636 	208579 u	545726 	423617 	406656 	982618 	399414 	497542 	934615 	1077060 e	597540 
A,FOR,NR,PER_VFR,N1-3,NR_OTH,FI	: u	: u	: 	: 	: u	: u	: 	: 	: 	: 	: 	: u	: u
A,FOR,NR,PER_VFR,N1-3,NR_OTH,FR	: 	: u	: 	: 	: u	: 	: u	: u	: u	: u	: 	: u	: u
A,FOR,NR,PER_VFR,N1-3,NR_OTH,HR	: u	: u	: 	: u	: 	: u	: 	: 	: 	: 	: 	: 	: 
A,FOR,NR,PER_VFR,N1-3,NR_OTH,HU	: u	: u	28095 	: u	: u	: u	: u	: u	13347 u	28696 u	37473 u	: u	: u
A,FOR,NR,PER_VFR,N1-3,NR_OTH,IE	: u	: 	: 	: 	: 	: u	: u	: u	: u	: u	: u	: u	: u
A,FOR,NR,PER_VFR,N1-3,NR_OTH,IT	: 	: 	: 	: u	: u	: u	: u	: 	: u	: u	: u	: u	: u
A,FOR,NR,PER_VFR,N1-3,NR_OTH,LT	: u	: u	: u	: u	: 	: u	: u	: u	: u	: 	: u	: u	: u
A,FOR,NR,PER_VFR,N1-3,NR_OTH,LU	: u	: u	: u	: u	: 	: u	: u	: u	: u	25384 u	30936 u	49941 u	38190 u
A,FOR,NR,PER_VFR,N1-3,NR_OTH,LV	: u	: 	: u	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 
A,FOR,NR,PER_VFR,N1-3,NR_OTH,MT	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 
A,FOR,NR,PER_VFR,N1-3,NR_OTH,NL	: 	: 	: 	: 	: 	: 	: u	: u	: 	: u	131112 u	255656 u	: u
A,FOR,NR,PER_VFR,N1-3,NR_OTH,NO	: 	: u	: 	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 
A,FOR,NR,PER_VFR,N1-3,NR_OTH,PL	: u	: 	: 	: u	: u	: u	: 	: u	: u	: u	: u	: u	: u
A,FOR,NR,PER_VFR,N1-3,NR_OTH,PT	: 	: 	: 	: 	: 	: 	: u	: u	: u	: 	: 	: u	: u
A,FOR,NR,PER_VFR,N1-3,NR_OTH,RO	: 	: 	: 	: 	: u	: u	: u	: u	: 	: 	: 	: 	: 
A,FOR,NR,PER_VFR,N1-3,NR_OTH,RS	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 
A,FOR,NR,PER_VFR,N1-3,NR_OTH,SE	: 	: 	: u	: u	: u	: u	140690 u	: u	: u	: u	: u	: 	: 
A,FOR,NR,PER_VFR,N1-3,NR_OTH,SI	: 	: 	: 	: 	: 	: u	: 	: 	: 	: u	: u	: u	: u
A,FOR,NR,PER_VFR,N1-3,NR_OTH,SK	: u	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,FOR,NR,PER_VFR,N1-3,NR_OTH,UK	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,FOR,NR,PER_VFR,N1-3,NR_OWN,AT	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	161624 u	: u
A,FOR,NR,PER_VFR,N1-3,NR_OWN,BE	: 	: u	102823 u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,FOR,NR,PER_VFR,N1-3,NR_OWN,BG	: u	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 
A,FOR,NR,PER_VFR,N1-3,NR_OWN,CH	: u	: u	: u	: u	: 	: u	: u	: u	: 	: 	: u	: 	: 
A,FOR,NR,PER_VFR,N1-3,NR_OWN,CY	: u	: u	: 	: u	: 	: u	: u	: u	: u	: u	: u	: u	: u
A,FOR,NR,PER_VFR,N1-3,NR_OWN,CZ	: u	: 	: 	: 	: u	: 	: 	: 	: 	: 	: u	: 	: 
A,FOR,NR,PER_VFR,N1-3,NR_OWN,DE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,FOR,NR,PER_VFR,N1-3,NR_OWN,DK	: 	: u	: 	: u	: u	209750 u	: u	: u	: 	: u	: u	: u	: u
A,FOR,NR,PER_VFR,N1-3,NR_OWN,EA20	585205 	516009 	532097 	802763 	833477 	744039 	861699 	1173927 	350586 	660806 	830036 	850602 	737782 
A,FOR,NR,PER_VFR,N1-3,NR_OWN,EE	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,FOR,NR,PER_VFR,N1-3,NR_OWN,EL	: u	: u	: 	: u	: 	: u	: u	: 	: u	: u	: u	: 	: 
A,FOR,NR,PER_VFR,N1-3,NR_OWN,ES	99217 u	: u	18246 	: u	22677 u	: u	: u	: u	: u	: u	: u	: u	: u
A,FOR,NR,PER_VFR,N1-3,NR_OWN,EU27_2020	632417 e	609184 e	599644 	1002837 	979589 	1094670 	963146 	1539882 	421174 	735716 	866393 	877111 e	783989 
A,FOR,NR,PER_VFR,N1-3,NR_OWN,FI	: u	: u	: u	: 	: u	: u	: u	: u	: u	: 	: 	: u	: u
A,FOR,NR,PER_VFR,N1-3,NR_OWN,FR	: 	: u	: u	: 	: 	: u	: 	: 	: u	: u	: u	: u	: u
A,FOR,NR,PER_VFR,N1-3,NR_OWN,HR	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,FOR,NR,PER_VFR,N1-3,NR_OWN,HU	19616 	74080 	54718 	58165 	66398 	58897 	24902 u	: u	: u	: u	13718 u	: u	: u
A,FOR,NR,PER_VFR,N1-3,NR_OWN,IE	: 	: u	: 	: 	: u	: u	: u	: u	: u	: u	: u	: 	: u
A,FOR,NR,PER_VFR,N1-3,NR_OWN,IT	: 	: 	: 	: u	: 	: 	: u	: 	: 	: u	: u	: u	: u
A,FOR,NR,PER_VFR,N1-3,NR_OWN,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u
A,FOR,NR,PER_VFR,N1-3,NR_OWN,LU	: u	: u	15530 u	: u	: u	68537 u	66848 u	59242 	45775 	24209 u	40572 u	17874 u	28064 u
A,FOR,NR,PER_VFR,N1-3,NR_OWN,LV	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,FOR,NR,PER_VFR,N1-3,NR_OWN,MT	: u	: u	: 	: u	: 	: u	: u	: u	: 	: 	: 	: u	: u
A,FOR,NR,PER_VFR,N1-3,NR_OWN,NL	: 	: 	: 	: 	: 	: u	: u	: u	: u	: 	: u	: u	: u
A,FOR,NR,PER_VFR,N1-3,NR_OWN,NO	: 	: u	: u	: 	: u	: u	: u	: 	: 	: 	: 	: 	: 
A,FOR,NR,PER_VFR,N1-3,NR_OWN,PL	: 	: 	: u	: u	: u	: u	: u	: u	: 	: u	: 	: u	: u
A,FOR,NR,PER_VFR,N1-3,NR_OWN,PT	: 	: 	37228 u	65278 u	: 	: 	: 	: 	: 	: u	: 	: u	: 
A,FOR,NR,PER_VFR,N1-3,NR_OWN,RO	: 	: 	: 	: 	: 	: 	: u	: u	: 	: 	: 	: u	: 
A,FOR,NR,PER_VFR,N1-3,NR_OWN,RS	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 
A,FOR,NR,PER_VFR,N1-3,NR_OWN,SE	: 	: 	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 	: 
A,FOR,NR,PER_VFR,N1-3,NR_OWN,SI	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u	: u
A,FOR,NR,PER_VFR,N1-3,NR_OWN,SK	: u	: 	: 	: u	: u	: 	: 	: 	: 	: 	: u	: u	: 
A,FOR,NR,PER_VFR,N1-3,NR_RF,AL	: 	: 	: 	: 	: 	141563 	: 	156884 	38382 	: 	: 	: 	: 
A,FOR,NR,PER_VFR,N1-3,NR_RF,AT	1098147 	695043 	1099270 	933873 	1154106 	1216161 	1268645 	1414440 	870430 	1182000 	2264612 	2534989 	2003549 
A,FOR,NR,PER_VFR,N1-3,NR_RF,BE	284330 u	523775 	658357 	683584 	773324 	1042903 b	1057950 	1043457 	528304 	804240 	789763 	1120841 	903781 
A,FOR,NR,PER_VFR,N1-3,NR_RF,BG	: u	57344 u	73902 u	: u	74420 u	62648 u	127752 u	: u	: u	: u	: u	89779 u	175523 u
A,FOR,NR,PER_VFR,N1-3,NR_RF,CH	1330766 	1831457 	1732515 	2200451 	1776689 	2253640 	2894141 	1969084 	836516 	660792 	1267580 	: 	: 
A,FOR,NR,PER_VFR,N1-3,NR_RF,CY	40182 bu	65773 bu	: u	56209 u	60526 u	: u	: u	74136 u	: u	: u	77251 u	103569 	74023 u
A,FOR,NR,PER_VFR,N1-3,NR_RF,CZ	629536 	680000 	796544 	853540 	849151 	965728 	1086814 	898156 	394854 	301022 u	966791 	694628 	498205 
A,FOR,NR,PER_VFR,N1-3,NR_RF,DE	6618487 	7270321 	6475094 	5830347 	6355221 	5693467 	6887372 	3867357 	2799660 u	4872490 	4108533 	5641360 	6154615 
A,FOR,NR,PER_VFR,N1-3,NR_RF,DK	898114 	1259217 b	1067542 	1114160 	1218312 	362589 u	328805 u	840280 	267673 u	263332 u	354728 u	452868 u	750817 
A,FOR,NR,PER_VFR,N1-3,NR_RF,EA20	17197332 	17780676 	18356405 	16106486 	16656255 	17559060 	19920262 	17236351 	7594108 	11926723 	16732110 	20441481 	20722068 
A,FOR,NR,PER_VFR,N1-3,NR_RF,EE	275489 u	179304 	293202 	180011 	177445 	177806 	237603 	234335 	35129 u	48386 u	151592 	134186 	135107 
A,FOR,NR,PER_VFR,N1-3,NR_RF,EL	: u	23355 u	41420 u	42462 u	34472 u	48562 u	63548 u	59621 u	: u	: u	44502 u	: u	86091 u
A,FOR,NR,PER_VFR,N1-3,NR_RF,ES	1220471 	1212130 	1225564 	1295466 b	1067937 	1259248 	1350574 	1789049 	363864 	482126 	1087252 	1241526 	1718094 
A,FOR,NR,PER_VFR,N1-3,NR_RF,EU27_2020	21699084 e	22422746 e	23578920 	22074238 	23030585 	24250274 	27338330 	24696759 	10507471 	14978290 	21794335 	25391595 e	25290241 
A,FOR,NR,PER_VFR,N1-3,NR_RF,FI	498273 b	531207 	655499 	612272 	698396 	739780 	609356 	364666 u	: u	131099 u	: u	303989 u	433575 
A,FOR,NR,PER_VFR,N1-3,NR_RF,FR	2498461 	2519875 	2470753 	1981199 	1960453 	2705660 	2642159 	2192741 	1250746 	1528462 	2351839 	2981127 	2998541 
A,FOR,NR,PER_VFR,N1-3,NR_RF,HR	608965 	524870 	583959 	436131 	432124 	323268 	476297 	526672 	196287 	239786 	395011 	599401 	380374 
A,FOR,NR,PER_VFR,N1-3,NR_RF,HU	1289672 	1333954 	1599578 	2048885 	2244226 	2192541 	2879128 	2954621 	1072442 	1243701 	1559722 	1326794 	1102664 
A,FOR,NR,PER_VFR,N1-3,NR_RF,IE	750014 	881541 	817711 	803594 	941170 	970560 	1083748 	984948 	154801 	258425 	1411638 	1445565 	1553829 
A,FOR,NR,PER_VFR,N1-3,NR_RF,IT	970626 u	1003539 	1362434 bu	: u	: u	688600 u	1457845 u	1211314 u	: u	485411 u	831383 u	: u	486662 u
